"brand","manufacturer","cims_class","material","standard_material","format_original","standard_format","concentration","dosage","uom","atc_code","atc_detail","amount","mims_class"
"Nestlé Lactogen 1 Prebio 1 GOS/FOS",,,,,,,,,,,,,
"Nestlé Lactogen 2 Prebio 1 GOS/FOS",,,,,,,,,,,,,
"Nestlé NAN 2 Protect Plus w/ Probiotik",,,,,,,,,,,,,
"Nestlé NAN HA 2 Protect Plus w/ Probiotik",,,,,,,,,,,,,
"Wida D5 - ¼ NS/Wida D5 - ½ NS/Wida D5 - NS",,,"Per L Wida D5 - &frac14 NS Glucose 55 g NaCl 2.25 g","L Wida D5 - &frac14 NS Glucose NaCl 2.25 g",,,,"55g",,"B05BB02","B05BB02 - electrolytes with carbohydrates Belongs to the class of solutions affecting the electrolyte balance used in I.V. solutions",,"Electrolytes"
"Wida D5 - ¼ NS/Wida D5 - ½ NS/Wida D5 - NS",,,"Per L Wida D5 - &frac12 NS Glucose 55 g NaCl 4.5 g","L Wida D5 - &frac12 NS Glucose NaCl 4.5 g",,,,"55g",,"B05BB02","B05BB02 - electrolytes with carbohydrates Belongs to the class of solutions affecting the electrolyte balance used in I.V. solutions",,"Electrolytes"
"Wida D5 - ¼ NS/Wida D5 - ½ NS/Wida D5 - NS",,,"Per L Wida D5 - NS Glucose 55 g NaCl 9 g","L Wida D5 - NS Glucose NaCl 9 g",,,,"55g",,"B05BB02","B05BB02 - electrolytes with carbohydrates Belongs to the class of solutions affecting the electrolyte balance used in I.V. solutions",,"Electrolytes"
"Becombion Syrup/Drops/Forte",,,"Per 5 mL Becombion syr Vit B1 5 mg  vit B2 2 mg  vit B3 20 mg  vit B5 3 mg  vit B6 2.5 mg  vit B12 3 mcg","Becombion  Vit B vit B vit B vit B vit B vit B12","syr","syrup",,"5mg/2mg/20mg/3mg/2.5mg/3mcg/5mL",,"A11EC","A11EC - Vitamin B-complex with minerals Used as dietary supplements",,"Vitamin B-Complex / with C"
"Becombion Syrup/Drops/Forte",,,"Per mL Becombion drops Vit B1 2.5 mg  vit B2 1 mg  vit B3 10 mg  vit B5 1.5 mg  vit B6 1 mg  vit B12 2 mcg D-biotin 0.125 mg  ethanol 1.57%","Becombion  Vit B vit B vit B vit B vit B vit B12 D-biotin ethanol","drops","drops",1.57%,"2.5mg/1mg/10mg/1.5mg/1mg/2mcg/0.125mg/mL",,"A11EC","A11EC - Vitamin B-complex with minerals Used as dietary supplements",,"Vitamin B-Complex / with C"
"Becombion Syrup/Drops/Forte",,,"Per Becombion Forte sugar-coated tab Vit B1 15 mg  vit B2 15 mg  vit B3 50 mg  vit B5 25 mg  vit B6 10 mg  vit B12 10 mcg  D (+) biotin 0.15 mg","Becombion  sugar-coated tab Vit B vit B vit B vit B vit B vit B12 D (+) biotin","Forte",,,"15mg/15mg/50mg/25mg/10mg/10mcg/0.15mg",,"A11EC","A11EC - Vitamin B-complex with minerals Used as dietary supplements",,"Vitamin B-Complex / with C"
"Polidemisin Eye Drops/Ointment","Sanbe Vision",,"Per mL Eye Drops Polymyxin B sulfate 6000 IU neomycin sulfate 3.5 mg dexamethasone 1 mg"," Polymyxin B sulfate neomycin sulfate dexamethasone","eye drops","eye drops",,"6000IU/3.5mg/1mg/mL","5 mL x 1","S01CA01","S01CA01 - dexamethasone and antiinfectives Belongs to the class of corticosteroids in combination with antiinfectives. Used in the treatment of eye diseases",27700,"Eye Antiseptics with Corticosteroids"
"Polidemisin Eye Drops/Ointment","Sanbe Vision",,"Per g Eye Ointment Polymyxin B sulfate 6000 IU neomycin sulfate 3.5 mg dexamethasone 1 mg"," Polymyxin B sulfate neomycin sulfate dexamethasone","eye drops","eye drops",,"6000IU/3.5mg/1mg/mL","5 mL x 1","S01CA01","S01CA01 - dexamethasone and antiinfectives Belongs to the class of corticosteroids in combination with antiinfectives. Used in the treatment of eye diseases",27700,"Eye Antiseptics with Corticosteroids"
"Polidemisin Eye Drops/Ointment","Sanbe Vision",,"Per mL Eye Drops Polymyxin B sulfate 6000 IU neomycin sulfate 3.5 mg dexamethasone 1 mg"," Polymyxin B sulfate neomycin sulfate dexamethasone","eye oint","eye ointment",,"6000IU/3.5mg/1mg/mL","3.5 g x 1","S01CA01","S01CA01 - dexamethasone and antiinfectives Belongs to the class of corticosteroids in combination with antiinfectives. Used in the treatment of eye diseases",35500,"Eye Antiseptics with Corticosteroids"
"Polidemisin Eye Drops/Ointment","Sanbe Vision",,"Per g Eye Ointment Polymyxin B sulfate 6000 IU neomycin sulfate 3.5 mg dexamethasone 1 mg"," Polymyxin B sulfate neomycin sulfate dexamethasone","eye oint","eye ointment",,"6000IU/3.5mg/1mg/mL","3.5 g x 1","S01CA01","S01CA01 - dexamethasone and antiinfectives Belongs to the class of corticosteroids in combination with antiinfectives. Used in the treatment of eye diseases",35500,"Eye Antiseptics with Corticosteroids"
"Proanes 1% MCT/LCT","Sanbe",,"Propofol","Propofol","inj ","injection",,"200mg/20mL","5 x 1","N01AX10","N01AX10 - propofol Belongs to the class of other general anesthetics",404250,"Anaesthetics - Local & General"
